Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,4494.64990234375,0
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,4546.2001953125,0
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,4732.35009765625,0
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,4747.5498046875,0
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,4837.5498046875,0
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,4932.2001953125,0
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,4938.85009765625,0
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,4940.5,0
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,5000.5498046875,0
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,5021.35009765625,0
2007-10-01,5021.5,5089.2998046875,5001.35009765625,5068.9501953125,5068.9501953125,0
2007-10-03,5069.0,5261.35009765625,5034.14990234375,5210.7998046875,5210.7998046875,0
2007-10-04,5211.64990234375,5233.10009765625,5126.0498046875,5208.64990234375,5208.64990234375,0
2007-10-05,5208.14990234375,5248.5498046875,5164.5,5185.85009765625,5185.85009765625,0
2007-10-08,5186.25,5249.2998046875,5024.75,5085.10009765625,5085.10009765625,0
2007-10-09,5062.64990234375,5348.7001953125,5000.9501953125,5327.25,5327.25,0
2007-10-10,5328.14990234375,5454.7001953125,5328.14990234375,5441.4501953125,5441.4501953125,0
2007-10-11,5438.89990234375,5532.75,5424.25,5524.85009765625,5524.85009765625,0
2007-10-12,5525.2998046875,5549.2998046875,5402.60009765625,5428.25,5428.25,0
2007-10-15,5428.35009765625,5682.64990234375,5419.89990234375,5670.39990234375,5670.39990234375,0
2007-10-16,5670.64990234375,5708.35009765625,5578.4501953125,5668.0498046875,5668.0498046875,0
2007-10-17,5658.89990234375,5658.89990234375,5107.2998046875,5559.2998046875,5559.2998046875,0
2007-10-18,5551.10009765625,5736.7998046875,5269.64990234375,5351.0,5351.0,0
2007-10-19,5360.35009765625,5390.85009765625,5101.75,5215.2998046875,5215.2998046875,0
2007-10-22,5202.75,5247.39990234375,5070.89990234375,5184.0,5184.0,0
2007-10-23,5185.2998046875,5488.5,5176.85009765625,5473.7001953125,5473.7001953125,0
2007-10-24,5477.60009765625,5577.89990234375,5419.39990234375,5496.14990234375,5496.14990234375,0
2007-10-25,5499.0498046875,5605.9501953125,5469.2998046875,5568.9501953125,5568.9501953125,0
2007-10-26,5564.25,5716.89990234375,5513.35009765625,5702.2998046875,5702.2998046875,0
2007-10-29,5708.89990234375,5922.5,5708.89990234375,5905.89990234375,5905.89990234375,0
2007-10-30,5917.5498046875,5976.0,5833.89990234375,5868.75,5868.75,0
2007-10-31,5868.89990234375,5952.25,5861.2998046875,5900.64990234375,5900.64990234375,0
2007-11-01,5903.7998046875,6011.9501953125,5837.2001953125,5866.4501953125,5866.4501953125,0
2007-11-02,5854.85009765625,5944.75,5714.25,5932.39990234375,5932.39990234375,0
2007-11-05,5931.89990234375,5948.5498046875,5819.60009765625,5847.2998046875,5847.2998046875,0
2007-11-06,5847.10009765625,5957.2001953125,5759.9501953125,5786.5,5786.5,0
2007-11-07,5782.39990234375,5861.35009765625,5744.2998046875,5782.35009765625,5782.35009765625,0
2007-11-08,5779.2998046875,5780.7998046875,5646.75,5698.75,5698.75,0
2007-11-12,5660.60009765625,5660.60009765625,5477.5,5617.10009765625,5617.10009765625,0
2007-11-13,5612.35009765625,5758.85009765625,5591.60009765625,5695.39990234375,5695.39990234375,0
2007-11-14,5703.9501953125,5950.2001953125,5700.0498046875,5937.89990234375,5937.89990234375,0
2007-11-15,5942.7001953125,5966.9501953125,5895.64990234375,5912.10009765625,5912.10009765625,0
2007-11-16,5913.14990234375,5948.0498046875,5817.39990234375,5906.85009765625,5906.85009765625,0
2007-11-19,5908.0498046875,5981.7998046875,5893.7998046875,5907.64990234375,5907.64990234375,0
2007-11-20,5911.25,5923.7001953125,5755.7998046875,5780.89990234375,5780.89990234375,0
2007-11-21,5778.7998046875,5790.0498046875,5530.85009765625,5561.0498046875,5561.0498046875,0
2007-11-22,5564.64990234375,5608.64990234375,5394.35009765625,5519.35009765625,5519.35009765625,0
